"","Text","Retweets","Favorited"
"99","Omg what is this skittles commercial?? Dem muscles tho <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> #SuperBowI","0","FALSE"
"100","RT @mxmeinholz56: The commercial where the tv went black, my dad actually ran to get a broom to brush off the satellite. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","2","FALSE"
"101","That skittles commercial promotes masturbating","1","FALSE"
"102","Was that Steven in that commercial","0","FALSE"
"103","Fav commercial so far #settleit @Skittles","0","FALSE"
"104","That was a good commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"105","RT @NikoWavy: LMAOOOOOOOOO SKITTLES COMMERCIAL<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","26","FALSE"
"106","Why do Skittles need a commercial? Who needs convincing to eat Sskittles???","0","FALSE"
"107","That skittles commercial was inappropriate<ed><U+00A0><U+00BD><ed><U+00B8><U+0085>","0","FALSE"
"108","Worst commercial come back to the sea #superbowlcommercials","0","FALSE"
"109","Patiently waiting to see if @CarnivalCruise shows the superbowl commercial I voted for while sailing the Sunshine. <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>","0","FALSE"
"110","Just saw the Lexus commercial during SuperBowlXLIX. I'd rather drive a Volvo. So should Jim Cascarino #VolvoContest","0","FALSE"
"111","That skittles commercial was on point","0","FALSE"
"112","That cruise commercial made me more anxious for spring break <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"113","This skittles commercial looks like half calvert county fake looking red neck mother fuckers","0","FALSE"
"114","SKITTLES COMMERCIAL LETS GOOOO","0","FALSE"
"115","That Skittles commercial&gt;&gt;&gt;&gt;&gt;","0","FALSE"
"116","RT @PatrickOchs: Snickers early favorite for most bizarre Super Bowl commercial.","1","FALSE"
"117","That skittles commercial tho<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"118","Lol not gonna lie I liked that skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B2><U+009B>","1","FALSE"
"119","The snickers commercial was the best thing so far","1","FALSE"
"120","That Carnival commercial doe &gt;&gt;&gt;","0","FALSE"
"121","RT @MorningExp: Did you know we made our own #SuperBowl commercial? http://t.co/kLcvpW0Zda","33","FALSE"
"122","Wtf that commercial<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"123","RT @WLTX: Did you like that Snickers commercial you just saw? Here it is again: http://t.co/L6lalSpKhh #SB49 http://t.co/MAFOrOsu2g","33","FALSE"
"124","That skittles commercial <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"125","Skittles commercial LMFAOOOO","1","FALSE"
"126","That skittle commercial<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #skittles","0","FALSE"
"127","I needed to be in that skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+00B4>","2","FALSE"
"128","dah skittles commercial tho","0","FALSE"
"129","That skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"130","Of course Skittles has a commercial today lol","0","FALSE"
"131","RT @WhalilKash: This skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> niggas arm big af","5","FALSE"
